l_,ce,cc,z,pe,pc,dpe,dpc,avge,avgc,tot_avg
0.2666666664,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.222222222,0,3,1.0,1,1.0,0,77.1999999999999,0,25.627383618983455,25.627383618983455
0.222222222,0,3,1.0,1,1.0,0,77.1999999999999,0,25.627383618983455,25.627383618983455
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.222222222,0,3,1.0,1,1.0,0,77.1999999999999,0,25.627383618983455,25.627383618983455
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.2666666664,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.1777777776,0,2,1.0,1,0.999999999999996,0,77.1999999999999,0,25.650056334432044,25.650056334432044
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.1777777776,0,2,1.0,1,0.999999999999996,0,77.1999999999999,0,25.650056334432044,25.650056334432044
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0444444444,0,0,0.0,1,1.0,0,0.0,0,0.0,0.0
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0444444444,0,0,0.0,1,1.0,0,0.0,0,0.0,0.0
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.0444444444,0,0,0.0,1,1.0,0,0.0,0,0.0,0.0
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0444444444,0,0,0.0,1,1.0,0,0.0,0,0.0,0.0
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.0888888888,0,2,1.0,1,0.999999999999998,0,77.1999999999999,0,25.632657930531497,25.632657930531497
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.1333333332,0,2,1.0,1,1.0,0,77.1999999999999,0,25.639955131473258,25.639955131473258
0.222222222,0,3,1.0,1,1.0,0,77.1999999999999,0,25.627383618983455,25.627383618983455
0.222222222,0,3,1.0,1,1.0,0,77.1999999999999,0,25.627383618983455,25.627383618983455
0.222222222,0,3,1.0,1,1.0,0,77.1999999999999,0,25.627383618983455,25.627383618983455
0.1777777776,0,2,1.0,1,0.999999999999996,0,77.1999999999999,0,25.650056334432044,25.650056334432044
0.222222222,0,3,1.0,1,1.0,0,77.1999999999999,0,25.627383618983455,25.627383618983455
0.3111111108,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.3111111108,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.3555555552,0,3,1.0,1,1.0,0,77.1999999999999,0,25.62965103344302,25.62965103344302
0.2666666664,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.3111111108,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.2666666664,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.2666666664,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.3111111108,0,3,1.0,1,0.999999999999997,0,77.1999999999999,0,25.62825198314519,25.62825198314519
0.3555555552,0,3,1.0,1,1.0,0,77.1999999999999,0,25.62965103344302,25.62965103344302
0.444444444,0,3,1.0,1,0.999999999999998,0,77.1999999999999,0,25.63169120961483,25.63169120961483
0.666666666,0,4,1.0,1,0.999999999999998,0,77.1999999999999,0,25.627266612997786,25.627266612997786
0.6222222216,0,4,1.0,1,0.999999999999998,0,77.1999999999999,0,25.627266612997786,25.627266612997786
0.5777777772,0,4,1.0,1,0.999999999999998,0,77.1999999999999,0,25.627266612997786,25.627266612997786
0.7555555548,0,5,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626792333846993,25.626792333846993
0.7111111104,0,4,1.0,1,1.0,0,77.1999999999999,0,25.627698275967077,25.627698275967077
0.8444444436,0,5,1.0,1,1.0,0,77.1999999999999,0,25.626859857002433,25.626859857002433
0.888888888,0,5,1.0,1,1.0,0,77.1999999999999,0,25.626859857002433,25.626859857002433
0.888888888,0,5,1.0,1,1.0,0,77.1999999999999,0,25.626859857002433,25.626859857002433
1.0222222212,0,5,1.0,1,0.999999999999995,0,77.1999999999999,0,25.62697425258683,25.62697425258683
1.11111111,0,6,1.0,1,0.999999999999997,0,77.1999999999999,0,25.626748362340397,25.626748362340397
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
1.6888888872,0,7,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626743918467405,25.626743918467405
1.4666666652,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.6888888872,0,7,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626743918467405,25.626743918467405
1.9555555536,0,8,1.0,1,0.999999999999992,0,77.1999999999999,0,25.626732752758414,25.626732752758414
2.0444444424,0,8,1.0,1,0.999999999999999,0,77.1999999999999,0,25.62673579271164,25.62673579271164
2.0888888868,0,8,1.0,1,0.999999999999999,0,77.1999999999999,0,25.62673579271164,25.62673579271164
2.3111111088,0,9,1.0,1,0.999999999999996,0,77.1999999999999,0,25.62673135837476,25.62673135837476
2.3555555532,0,9,1.0,1,0.999999999999996,0,77.1999999999999,0,25.62673135837476,25.62673135837476
2.1777777756,0,9,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626730669924022,25.626730669924022
2.22222222,0,9,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626730669924022,25.626730669924022
2.3111111088,0,9,1.0,1,0.999999999999996,0,77.1999999999999,0,25.62673135837476,25.62673135837476
2.1333333312,0,9,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626730669924022,25.626730669924022
2.3555555532,0,9,1.0,1,0.999999999999996,0,77.1999999999999,0,25.62673135837476,25.62673135837476
2.3555555532,0,9,1.0,1,0.999999999999996,0,77.1999999999999,0,25.62673135837476,25.62673135837476
2.3555555532,0,9,1.0,1,0.999999999999996,0,77.1999999999999,0,25.62673135837476,25.62673135837476
2.22222222,0,9,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626730669924022,25.626730669924022
2.3555555532,0,9,1.0,1,0.999999999999996,0,77.1999999999999,0,25.62673135837476,25.62673135837476
2.22222222,0,9,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626730669924022,25.626730669924022
2.1777777756,0,9,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626730669924022,25.626730669924022
1.777777776,0,8,1.0,1,1.0,0,77.1999999999999,0,25.626731247180853,25.626731247180853
2.0888888868,0,8,1.0,1,0.999999999999999,0,77.1999999999999,0,25.62673579271164,25.62673579271164
2.0888888868,0,8,1.0,1,0.999999999999999,0,77.1999999999999,0,25.62673579271164,25.62673579271164
1.999999998,0,8,1.0,1,0.999999999999992,0,77.1999999999999,0,25.626732752758414,25.626732752758414
1.6888888872,0,7,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626743918467405,25.626743918467405
1.999999998,0,8,1.0,1,0.999999999999992,0,77.1999999999999,0,25.626732752758414,25.626732752758414
1.6888888872,0,7,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626743918467405,25.626743918467405
1.8222222204,0,8,1.0,1,0.999999999999992,0,77.1999999999999,0,25.626732752758414,25.626732752758414
1.5999999984,0,7,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626743918467405,25.626743918467405
1.555555554,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.7333333316,0,7,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626743918467405,25.626743918467405
1.4666666652,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.5111111096,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.5111111096,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.2888888876,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
1.4666666652,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.5111111096,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.2444444432,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.1555555544,0,6,1.0,1,0.999999999999997,0,77.1999999999999,0,25.626748362340397,25.626748362340397
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
1.1555555544,0,6,1.0,1,0.999999999999997,0,77.1999999999999,0,25.626748362340397,25.626748362340397
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
1.4666666652,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.1555555544,0,6,1.0,1,0.999999999999997,0,77.1999999999999,0,25.626748362340397,25.626748362340397
1.4666666652,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.2888888876,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.2888888876,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.2888888876,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.3777777764,0,6,1.0,1,0.999999999999999,0,77.1999999999999,0,25.626805330017714,25.626805330017714
